タイトル,発売日,カテゴリ,リンク種別,URL
"Fighting Vipers - 30th Anniv. Album -","2025.11.27","arcade","内部","https://music.sega.co.jp/release/arcade/fv.html"
"オシャレ魔女 ラブ and ベリー - 20th Anniversary Album -","2025.09.25","arcade","内部","https://music.sega.co.jp/release/arcade/osharemajo.html"
"SEGA RALLY CHAMPIONSHIP - 30th Anniv. Album -","2024.10.17","arcade","内部","https://music.sega.co.jp/release/arcade/src.html"
"英傑大戦 オリジナルサウンドトラック −音曲集−","2024.03.07","arcade","外部","https://info-eiketsu-taisen.sega.jp/archives/3359"
"Virtua Fighter 3tb Online PREMIUM MUSIC COLLECTION","2023.12.14","arcade","外部","https://info-virtuafighter.sega.jp/archives/607"
"VIRTUA FIGHTER 5 ULTIMATE SHOWDOWN ORIGINAL SOUNDTRACK","2022.02.23","arcade","外部","https://info-virtuafighter.sega.jp/archives/305"
"三国志大戦 オリジナルサウンドトラック −輪音協奏2−","2021.11.11","arcade","外部","https://www.sangokushi-taisen.com/news/#/id/79df73275e9c4767"
"GO SEGA - 60th ANNIVERSARY Album -","2021.03.24","arcade","内部","https://music.sega.co.jp/release/consumer/gosega.html"
"SEGA 60th Anniversary Official Bootleg DJ Mix","2021.03.24","arcade","外部","https://60th.sega.com/contents/goods/item_cd-djmix.html"
"Technosoft Music Collection -THUNDER FORCE & AC-","2020.07.23","arcade","外部","https://archives.sega.jp/segaages/news/200707.shtml"
"G-LOC AIR BATTLE -Series Music Collection-","2020.03.26","arcade","外部","https://archives.sega.jp/segaages/news/200310.shtml"
"SEGA World Drivers Championship -Original Sound Track-","2020.02.15","arcade","内部","https://music.sega.co.jp/release/arcade/swdc.html"
"ASTRO CITY mini - Celebration Album -","2020.12.17","arcade","内部","https://music.sega.co.jp/release/arcade/astrocitymini.html"
"Reconnect the Metaverse","2019.12.28","arcade","外部","https://chunithm.sega.jp/cd/"
"Genesis Of Destiny RC","2019.12.28","arcade","外部","https://chunithm.sega.jp/cd/"
"GUMIN☠NATION","2019.09.06","arcade","外部","https://chunithm.sega.jp/cd/"
"ようこそ！ハッピーアニマリア2","2019.09.06","arcade","外部","https://chunithm.sega.jp/cd/"
"タソガレリレイション","2019.09.06","arcade","外部","https://chunithm.sega.jp/cd/"
"HOUSE OF THE DEAD 〜SCARLET DAWN〜 ORIGINAL SOUND TRACKS","2019.07.24","arcade","なし",""
"Liberate the Metaverse","2019.02.20","arcade","外部","https://chunithm.sega.jp/cd/"
"SEGA AGES OutRun -Music Collection-","2019.02.23","arcade","外部","https://archives.sega.jp/segaages/news/190207.shtml"
"三国志大戦 オリジナルサウンドトラック −輪音協奏−","2019.03.23","arcade","外部","https://www.sangokushi-taisen.com/news/#/id/z6zmfhur7s7qhwz5"
"Hiro ReMix WorKs","2018.02.24","arcade","外部","https://ebten.jp/p/4571164387062"
"Genesis Of Destiny R2","2018.09.22","arcade","外部","https://chunithm.sega.jp/cd/"
"GUMIN☠LIFE","2018.09.22","arcade","外部","https://chunithm.sega.jp/cd/"
"たまゆらリレイション","2018.06.05","arcade","外部","https://chunithm.sega.jp/cd/"
"ようこそ！ハッピーアニマリア","2018.06.05","arcade","外部","https://chunithm.sega.jp/cd/"
"S.S.T.BAND -30th Anniversary Box-","2018.12.15","arcade","なし",""
"CHUNITHM ALL JUSTICE COLLECTION ep. I","2017.11.25","arcade","外部","https://chunithm.sega.jp/cd/"
"Genesis Of Destiny Rebellion","2017.11.25","arcade","外部","https://chunithm.sega.jp/cd/"
"Observe the Metaverse","2017.11.25","arcade","外部","https://chunithm.sega.jp/cd/"
"GUMIN☠WORKS","2017.04.30","arcade","外部","https://chunithm.sega.jp/cd/"
